ABA_ROW_NAME,ABA_CODE,MATCH_VARIANT,SPECIES_CODE
Red-necked Stint,3.0,red necked stint,rensti
Sanderling,1.0,sanderling,sander
Dunlin,1.0,dunlin,dunlin6
Rock Sandpiper,2.0,rock sandpiper,rocsan3
Purple Sandpiper,1.0,purple sandpiper,pursan
Baird's Sandpiper,1.0,baird s sandpiper,baisan
Little Stint,3.0,little stint,litsti
Least Sandpiper,1.0,least sandpiper,leasan
White-rumped Sandpiper,1.0,white rumped sandpiper,whrsan
Buff-breasted Sandpiper,1.0,buff breasted sandpiper,bubsan
Pectoral Sandpiper,1.0,pectoral sandpiper,pecsan
Semipalmated Sandpiper,1.0,semipalmated sandpiper,semsan
Western Sandpiper,1.0,western sandpiper,wessan
Short-billed Dowitcher,1.0,short billed dowitcher,shbdow3
Long-billed Dowitcher,1.0,long billed dowitcher,lobdow
Jack Snipe,4.0,jack snipe,jacsni
Eurasian Woodcock,5.0,eurasian woodcock,eurwoo
American Woodcock,1.0,american woodcock,amewoo
Solitary Snipe,5.0,solitary snipe,solsni1
Pin-tailed Snipe,4.0,pin tailed snipe,pitsni
Common Snipe,3.0,common snipe,comsni
Wilson's Snipe,1.0,wilson s snipe,wilsni1
Terek Sandpiper,3.0,terek sandpiper,tersan
Common Sandpiper,3.0,common sandpiper,comsan
Spotted Sandpiper,1.0,spotted sandpiper,sposan
Green Sandpiper,4.0,green sandpiper,grnsan
Solitary Sandpiper,1.0,solitary sandpiper,solsan2
Gray-tailed Tattler,3.0,gray tailed tattler,gyttat1
Wandering Tattler,1.0,wandering tattler,wantat1
Lesser Yellowlegs,1.0,lesser yellowlegs,lesyel
Willet,1.0,willet,willet3
Spotted Redshank,4.0,spotted redshank,spored
Common Greenshank,3.0,common greenshank,comgre
Greater Yellowlegs,1.0,greater yellowlegs,greyel
Common Redshank,4.0,common redshank,comred1
Wood Sandpiper,3.0,wood sandpiper,woosan
Marsh Sandpiper,4.0,marsh sandpiper,marsan
Wilson's Phalarope,1.0,wilson s phalarope,wilpha
Red-necked Phalarope,1.0,red necked phalarope,renpha
Red Phalarope,1.0,red phalarope,redpha1
,nan,nan,
Oriental Pratincole,5.0,oriental pratincole,oripra
,nan,nan,
Great Skua,3.0,great skua,gresku1
South Polar Skua,2.0,south polar skua,sopsku1
Pomarine Jaeger,1.0,pomarine jaeger,pomjae
Parasitic Jaeger,1.0,parasitic jaeger,parjae
Long-tailed Jaeger,1.0,long tailed jaeger,lotjae
,nan,nan,
Dovekie,2.0,dovekie,doveki
Common Murre,1.0,common murre,commur
Thick-billed Murre,1.0,thick billed murre,thbmur
Razorbill,1.0,razorbill,razorb
"Great Auk (extinct, 1844)",6.0,great auk,greauk
Black Guillemot,1.0,black guillemot,blkgui1
Pigeon Guillemot,1.0,pigeon guillemot,piggui1
Long-billed Murrelet,4.0,long billed murrelet,lobmur
Marbled Murrelet,1.0,marbled murrelet,marmur
Kittlitz's Murrelet,2.0,kittlitz s murrelet,kitmur
Scripps's Murrelet,2.0,scripps s murrelet,xanmur2
Guadalupe Murrelet,3.0,guadalupe murrelet,xanmur1
Craveri's Murrelet,2.0,craveri s murrelet,cramur
Ancient Murrelet,2.0,ancient murrelet,ancmur
Cassin's Auklet,1.0,cassin s auklet,casauk
Parakeet Auklet,2.0,parakeet auklet,parauk
Least Auklet,2.0,least auklet,leaauk
Whiskered Auklet,2.0,whiskered auklet,whiauk
Crested Auklet,2.0,crested auklet,creauk
Rhinoceros Auklet,1.0,rhinoceros auklet,rhiauk
Atlantic Puffin,1.0,atlantic puffin,atlpuf
Horned Puffin,1.0,horned puffin,horpuf
Tufted Puffin,1.0,tufted puffin,tufpuf
,nan,nan,
Brown Noddy,2.0,brown noddy,brnnod
Black Noddy,2.0,black noddy,blknod2
Blue-gray Noddy,3.0,blue gray noddy,bugnod
Blue-billed White-Tern,2.0,blue billed white tern,
Little White-Tern,5.0,little white tern,
Sooty Tern,2.0,sooty tern,sooter1
Gray-backed Tern,2.0,gray backed tern,gybter1
Bridled Tern,2.0,bridled tern,briter1
Aleutian Tern,2.0,aleutian tern,aleter1
Little Tern,4.0,little tern,litter1
Least Tern,1.0,least tern,leater1
Large-billed Tern,5.0,large billed tern,labter1
Gull-billed Tern,1.0,gull billed tern,gubter2
Caspian Tern,1.0,caspian tern,caster1
Inca Tern,5.0,inca tern,incter1
Black Tern,1.0,black tern,blkter2
White-winged Tern,4.0,white winged tern,whwter
Whiskered Tern,5.0,whiskered tern,whiter2
Roseate Tern,2.0,roseate tern,roster
Common Tern,1.0,common tern,comter3
Arctic Tern,1.0,arctic tern,arcter
Forster's Tern,1.0,forster s tern,forter
Royal Tern,1.0,royal tern,royter1
Great Crested Tern,5.0,great crested tern,grcter1
Sandwich Tern,1.0,sandwich tern,santer5
Elegant Tern,1.0,elegant tern,eleter1
Black Skimmer,1.0,black skimmer,blkski3
Swallow-tailed Gull,5.0,swallow tailed gull,swtgul1
Black-legged Kittiwake,1.0,black legged kittiwake,bklkit2
Red-legged Kittiwake,2.0,red legged kittiwake,relkit
Ivory Gull,3.0,ivory gull,ivogul
Sabine's Gull,1.0,sabine s gull,sabgul
Bonaparte's Gull,1.0,bonaparte s gull,bongul
Gray-hooded Gull,5.0,gray hooded gull,grhgul
Black-headed Gull,2.0,black headed gull,bkhgul
Little Gull,2.0,little gull,litgul
Ross's Gull,3.0,ross s gull,rosgul
Gray Gull,5.0,gray gull,grygul
Laughing Gull,1.0,laughing gull,laugul
Franklin's Gull,1.0,franklin s gull,fragul
Pallas's Gull,5.0,pallas s gull,gbhgul2
Belcher's Gull,5.0,belcher s gull,belgul
Black-tailed Gull,4.0,black tailed gull,bktgul
Heermann's Gull,1.0,heermann s gull,heegul
Common Gull,3.0,common gull,kamgul1
Short-billed Gull,1.0,short billed gull,mewgul2
Ring-billed Gull,1.0,ring billed gull,ribgul
Western Gull,1.0,western gull,wesgul
Yellow-footed Gull,2.0,yellow footed gull,yefgul
California Gull,1.0,california gull,calgul2
European Herring Gull,5.0,european herring gull,euhgul1
Vega Gull,3.0,vega gull,veggul1
American Herring Gull,1.0,american herring gull,amhgul1
Yellow-legged Gull,4.0,yellow legged gull,yelgul3
Iceland Gull,1.0,iceland gull,x00435
Lesser Black-backed Gull,2.0,lesser black backed gull,lbbgul6
Slaty-backed Gull,3.0,slaty backed gull,slbgul
Glaucous-winged Gull,1.0,glaucous winged gull,glwgul
Glaucous Gull,1.0,glaucous gull,glagul
Great Black-backed Gull,1.0,great black backed gull,gbbgul
Kelp Gull,4.0,kelp gull,kelgul5
,nan,nan,
White-tailed Tropicbird,2.0,white tailed tropicbird,whttro5
Red-billed Tropicbird,3.0,red billed tropicbird,rebtro
Red-tailed Tropicbird,2.0,red tailed tropicbird,rettro
,nan,nan,
Red-throated Loon,1.0,red throated loon,retloo
