ABA_ROW_NAME,ABA_CODE,MATCH_VARIANT,SPECIES_CODE
Yellow-eyed Junco,2.0,yellow eyed junco,yeejun4
White-crowned Sparrow,1.0,white crowned sparrow,pswspa1
Golden-crowned Sparrow,1.0,golden crowned sparrow,gocspa
Harris's Sparrow,1.0,harris s sparrow,harspa
White-throated Sparrow,1.0,white throated sparrow,whtspa
Bell's Sparrow,1.0,bell s sparrow,sagspa2
Sagebrush Sparrow,1.0,sagebrush sparrow,sagspa1
Vesper Sparrow,1.0,vesper sparrow,vesspa
LeConte's Sparrow,1.0,leconte s sparrow,lecspa
Seaside Sparrow,1.0,seaside sparrow,cssspa1
Nelson's Sparrow,1.0,nelson s sparrow,nstspa2
Saltmarsh Sparrow,1.0,saltmarsh sparrow,sstspa
Baird's Sparrow,2.0,baird s sparrow,baispa
Henslow's Sparrow,2.0,henslow s sparrow,henspa
Savannah Sparrow,1.0,savannah sparrow,labspa
Song Sparrow,1.0,song sparrow,sonspa3
Lincoln's Sparrow,1.0,lincoln s sparrow,linspa
Swamp Sparrow,1.0,swamp sparrow,swaspa
Canyon Towhee,1.0,canyon towhee,cantow
Abert's Towhee,1.0,abert s towhee,abetow
California Towhee,1.0,california towhee,caltow
Rufous-crowned Sparrow,1.0,rufous crowned sparrow,rucspa
Green-tailed Towhee,1.0,green tailed towhee,gnttow
Spotted Towhee,1.0,spotted towhee,spotow4
Eastern Towhee,1.0,eastern towhee,eastow2
,nan,nan,
Western Spindalis,3.0,western spindalis,wesspi6
,nan,nan,
Yellow-breasted Chat,1.0,yellow breasted chat,yebcha2
,nan,nan,
Yellow-headed Blackbird,1.0,yellow headed blackbird,yehbla
Bobolink,1.0,bobolink,boboli
Chihuahuan Meadowlark,1.0,chihuahuan meadowlark,lilmea2
Eastern Meadowlark,1.0,eastern meadowlark,easmea2
Western Meadowlark,1.0,western meadowlark,wesmea
Black-vented Oriole,4.0,black vented oriole,bkvori
Orchard Oriole,1.0,orchard oriole,orcori3
Hooded Oriole,1.0,hooded oriole,hooori3
Streak-backed Oriole,4.0,streak backed oriole,stbori2
Bullock's Oriole,1.0,bullock s oriole,bulori
Spot-breasted Oriole,2.0,spot breasted oriole,spbori
Altamira Oriole,2.0,altamira oriole,altori
Audubon's Oriole,2.0,audubon s oriole,audori2
Baltimore Oriole,1.0,baltimore oriole,balori
Black-backed Oriole,5.0,black backed oriole,blbori1
Scott's Oriole,1.0,scott s oriole,scoori
Red-winged Blackbird,1.0,red winged blackbird,rewbla3
Tricolored Blackbird,2.0,tricolored blackbird,tribla
Tawny-shouldered Blackbird,5.0,tawny shouldered blackbird,tasbla
Shiny Cowbird,3.0,shiny cowbird,shicow
Bronzed Cowbird,1.0,bronzed cowbird,brocow2
Brown-headed Cowbird,1.0,brown headed cowbird,bnhcow
Rusty Blackbird,1.0,rusty blackbird,rusbla
Brewer's Blackbird,1.0,brewer s blackbird,brebla
Common Grackle,1.0,common grackle,comgra2
Boat-tailed Grackle,1.0,boat tailed grackle,botgra3
Great-tailed Grackle,1.0,great tailed grackle,grtgra2
,nan,nan,
Ovenbird,1.0,ovenbird,ovenbi1
Worm-eating Warbler,1.0,worm eating warbler,woewar1
Louisiana Waterthrush,1.0,louisiana waterthrush,louwat
Northern Waterthrush,1.0,northern waterthrush,norwat
"Bachman's Warbler (extinct, 1937)",6.0,bachman s warbler,bacwar
Golden-winged Warbler,2.0,golden winged warbler,gowwar
Blue-winged Warbler,1.0,blue winged warbler,buwwar
Black-and-white Warbler,1.0,black and white warbler,bawwar
Prothonotary Warbler,1.0,prothonotary warbler,prowar
Swainson's Warbler,2.0,swainson s warbler,swawar
Crescent-chested Warbler,4.0,crescent chested warbler,crcwar
Tennessee Warbler,1.0,tennessee warbler,tenwar
Orange-crowned Warbler,1.0,orange crowned warbler,orcwar4
Colima Warbler,2.0,colima warbler,colwar
Lucy's Warbler,1.0,lucy s warbler,lucwar
Nashville Warbler,1.0,nashville warbler,naswar2
Virginia's Warbler,1.0,virginia s warbler,virwar
Connecticut Warbler,2.0,connecticut warbler,conwar
Gray-crowned Yellowthroat,4.0,gray crowned yellowthroat,gycyel
MacGillivray's Warbler,1.0,macgillivray s warbler,macwar
Mourning Warbler,1.0,mourning warbler,mouwar
Kentucky Warbler,1.0,kentucky warbler,kenwar
Common Yellowthroat,1.0,common yellowthroat,comyel4
Hooded Warbler,1.0,hooded warbler,hoowar
American Redstart,1.0,american redstart,amered
Kirtland's Warbler,2.0,kirtland s warbler,kirwar
Cape May Warbler,1.0,cape may warbler,camwar
Cerulean Warbler,2.0,cerulean warbler,cerwar
Northern Parula,1.0,northern parula,norpar
Tropical Parula,3.0,tropical parula,tropar9
Magnolia Warbler,1.0,magnolia warbler,magwar
Bay-breasted Warbler,1.0,bay breasted warbler,babwar
Blackburnian Warbler,1.0,blackburnian warbler,bkbwar
Yellow Warbler,1.0,yellow warbler,yelwar4
Chestnut-sided Warbler,1.0,chestnut sided warbler,chswar
Blackpoll Warbler,1.0,blackpoll warbler,bkpwar
Black-throated Blue Warbler,1.0,black throated blue warbler,btbwar
Palm Warbler,1.0,palm warbler,palwar4
Pine Warbler,1.0,pine warbler,pinwar
Yellow-rumped Warbler,1.0,yellow rumped warbler,yerwar2
Yellow-throated Warbler,1.0,yellow throated warbler,yetwar2
Prairie Warbler,1.0,prairie warbler,prawar
Grace's Warbler,1.0,grace s warbler,grawar
Black-throated Gray Warbler,1.0,black throated gray warbler,btywar
Townsend's Warbler,1.0,townsend s warbler,towwar
Hermit Warbler,1.0,hermit warbler,herwar
Golden-cheeked Warbler,2.0,golden cheeked warbler,gchwar
Black-throated Green Warbler,1.0,black throated green warbler,btnwar
Fan-tailed Warbler,4.0,fan tailed warbler,fatwar
Rufous-capped Warbler,3.0,rufous capped warbler,rucwar3
Golden-crowned Warbler,4.0,golden crowned warbler,whbwar1
Canada Warbler,1.0,canada warbler,canwar
Wilson's Warbler,1.0,wilson s warbler,wilwar3
Red-faced Warbler,2.0,red faced warbler,refwar
Painted Redstart,2.0,painted redstart,paired
Slate-throated Redstart,4.0,slate throated redstart,sltred
,nan,nan,
Hepatic Tanager,2.0,hepatic tanager,heptan3
Summer Tanager,1.0,summer tanager,sumtan
Scarlet Tanager,1.0,scarlet tanager,scatan
Western Tanager,1.0,western tanager,westan
Flame-colored Tanager,3.0,flame colored tanager,flctan
Crimson-collared Grosbeak,4.0,crimson collared grosbeak,crcgro
Northern Cardinal,1.0,northern cardinal,norcar2
Pyrrhuloxia,1.0,pyrrhuloxia,pyrrhu
Yellow Grosbeak,4.0,yellow grosbeak,yelgro1
Rose-breasted Grosbeak,1.0,rose breasted grosbeak,robgro
Black-headed Grosbeak,1.0,black headed grosbeak,bkhgro
Blue Bunting,4.0,blue bunting,blubun2
Blue Grosbeak,1.0,blue grosbeak,blugrb1
Lazuli Bunting,1.0,lazuli bunting,lazbun
Indigo Bunting,1.0,indigo bunting,indbun
Varied Bunting,2.0,varied bunting,varbun
Painted Bunting,1.0,painted bunting,paibun
Dickcissel,1.0,dickcissel,dickci
,nan,nan,
Red-crested Cardinal,2.0,red crested cardinal,reccar
Yellow-billed Cardinal,2.0,yellow billed cardinal,yebcar
Blue-gray Tanager (1969-1982),6.0,blue gray tanager,bugtan2
Saffron Finch,2.0,saffron finch,saffin2
Blue-black Grassquit,5.0,blue black grassquit,blbgra1
Red-legged Honeycreeper,4.0,red legged honeycreeper,relhon1
Bananaquit,4.0,bananaquit,banana5
Yellow-faced Grassquit,3.0,yellow faced grassquit,yefgra1
Black-faced Grassquit,4.0,black faced grassquit,bkfgra
Morelet's Seedeater,3.0,morelet s seedeater,morsee2
,nan,nan,
Mandarin Duck,nan,mandarin duck,manduc
Japanese Quail*,nan,japanese quail,japqua1
Golden Pheasant,nan,golden pheasant,golphe1
Silver Pheasant,nan,silver pheasant,silphe
Tanimbar Corella,nan,tanimbar corella,tancoc1
Red-lored Amazon,nan,red lored amazon,relpar4
Yellow-headed Amazon,nan,yellow headed amazon,yehpar1
White-fronted Amazon,nan,white fronted amazon,whfpar1
Orange-winged Parrot,nan,orange winged parrot,
Burrowing Parakeet,nan,burrowing parakeet,burpar2
Blue-and-yellow Macaw,nan,blue and yellow macaw,baymac
Chestnut-fronted Macaw,nan,chestnut fronted macaw,chfmac1
Blue-crowned Parakeet,nan,blue crowned parakeet,bucpar9
White-eyed Parakeet,nan,white eyed parakeet,whepar2
Great Tit,nan,great tit,turtit1
Swinhoe's White-eye,nan,swinhoe s white eye,swiwhe1
Northern Red Bishop,nan,northern red bishop,orabis1
Orange-cheeked Waxbill,nan,orange cheeked waxbill,orcwax
Pin-tailed Whydah,nan,pin tailed whydah,pitwhy
,nan,nan,
West Indian Whistling-Duck,nan,west indian whistling duck,wiwduc1
Ruddy Shelduck,nan,ruddy shelduck,rudshe
Azure Gallinule*,nan,azure gallinule,azugal1
Demoiselle Crane,nan,demoiselle crane,demcra1
Great White Pelican,nan,great white pelican,grwpel1
Variable Hawk*,nan,variable hawk,varhaw2
Cattle Tyrant,nan,cattle tyrant,cattyr
House Crow,nan,house crow,houcro1
Hooded Crow,nan,hooded crow,hoocro3
Black Catbird*,nan,black catbird,blacat1
Gray Thrasher,nan,gray thrasher,grathr1
Tropical Mockingbird,nan,tropical mockingbird,tromoc2
Rufous-collared Sparrow,nan,rufous collared sparrow,rucspa5
Striped Sparrow,nan,striped sparrow,strspa1
Lesson's Seedeater,nan,lesson s seedeater,lessee2
,nan,nan,
* Accepted outright by eBird,nan,accepted outright by ebird,
